transaction_id,merchant_id,order_id,payment_id,payment_status,payment_amount,payment_currency,payment_timestamp,settlement_id,settlement_amount,settlement_currency,settlement_timestamp,fee_id,fee_amount,fee_type,tax_amount,refund_id,refund_amount,refund_status,adjustment_id,adjustment_amount,scenario_type,ground_truth
TXN_000001,MER_001,ORD_000001,PAY_000001,SUCCESS,97296.00,INR,2026-02-20T10:37:00,SET_000001,72972.00,INR,2026-02-21T10:37:00,,0.00,,0.00,REF_000001,24324.00,PROCESSED,ADJ_000001,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000002,MER_002,ORD_000002,PAY_000002,SUCCESS,88796.00,INR,2026-05-16T05:01:00,SET_000002,87020.08,INR,2026-05-19T05:01:00,FEE_000002,1775.92,PROCESSING_FEE,0.00,,0.00,,ADJ_000002,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000003,MER_007,ORD_000003,PAY_000003,SUCCESS,4265.00,INR,2026-01-06T19:11:00,SET_000003,4265.00,INR,2026-01-07T19:11:00,,0.00,,0.00,,0.00,,ADJ_000003,0.00,NORMAL,NORMAL
TXN_000004,MER_001,ORD_000004,PAY_000004,SUCCESS,73663.00,INR,2026-02-06T13:44:00,SET_000004,72189.74,INR,2026-02-09T13:44:00,FEE_000004,1473.26,PROCESSING_FEE,0.00,,0.00,,ADJ_000004,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000005,MER_007,ORD_000005,PAY_000005,SUCCESS,28993.00,INR,2026-03-24T03:37:00,SET_000005,21744.75,INR,2026-03-27T03:37:00,,0.00,,0.00,REF_000005,7248.25,PROCESSED,ADJ_000005,0.00,RECONCILED_PARTIAL,RECONCILED_PARTIAL
TXN_000006,MER_001,ORD_000006,PAY_000006,SUCCESS,99558.00,INR,2026-05-28T01:40:00,SET_000006,97566.84,INR,2026-05-29T01:40:00,FEE_000006,1991.16,PROCESSING_FEE,0.00,,0.00,,ADJ_000006,0.00,PROCESSING_FEE,PROCESSING_FEE
TXN_000007,MER_006,ORD_000007,PAY_000007,SUCCESS,36521.00,INR,2026-01-29T16:18:00,,0.00,INR,,,0.00,,0.00,,0.00,,ADJ_000007,0.00,MISSING_SETTLEMENT,MISSING_SETTLEMENT
TXN_000008,MER_006,ORD_000008,PAY_000008,SUCCESS,13496.00,INR,2026-01-18T06:12:00,SET_000008,0.00,INR,2026-01-20T06:12:00,,0.00,,0.00,REF_000008,18894.40,PROCESSED,ADJ_000008,0.00,INVALID_REFUND,INVALID_REFUND
TXN_000009,MER_006,ORD_000009,PAY_000009,SUCCESS,79231.00,INR,2026-02-18T12:42:00,SET_000009,79231.00,INR,2026-02-19T12:42:00,,0.00,,0.00,,0.00,,ADJ_000009,0.00,NORMAL,NORMAL
TXN_000010,MER_002,ORD_000010,PAY_000010,SUCCESS,49715.00,INR,2026-01-15T17:16:00,,0.00,INR,,,0.00,,0.00,,0.00,,ADJ_000010,0.00,MISSING_SETTLEMENT,MISSING_SETTLEMENT
